City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,baise city,23.8997,106.6133,25.46,62,4,0.33,CN,1697509157
323,banda aceh,5.5577,95.3222,27.72,76,98,6.51,ID,1697509082
324,eilat,29.5581,34.9482,21.91,60,0,3.6,IL,1697509158
325,puerto baquerizo moreno,-0.9,-89.6,23.66,82,63,2.8,EC,1697509158
326,whitefish,48.4111,-114.3376,16.22,83,0,1.54,US,1697509158
327,cestos city,5.46,-9.5828,24.6,90,100,2.71,LR,1697509158
328,licheng,23.2955,113.8284,25.74,51,60,2.02,CN,1697509159
329,eyl,7.9803,49.8164,26.85,81,56,1.24,SO,1697509159
330,branson,36.6437,-93.2185,11.32,88,20,0.45,US,1697509159
331,susuman,62.7833,148.1667,-14.45,69,1,1.34,RU,1697509159
332,susangerd,31.5608,48.1831,24.28,36,2,4.14,IR,1697509159
333,praia da vitoria,38.7333,-27.0667,19.31,88,75,4.88,PT,1697509160
334,mandalgovi,45.7625,106.2708,2.87,56,36,6.98,MN,1697509160
335,polyarnyy,69.1989,33.4478,3.22,75,100,11.16,RU,1697509160
336,goksun,38.021,36.4973,9.97,65,0,1.78,TR,1697509160
337,mwadui,-3.55,33.6,22.44,65,100,2.76,TZ,1697509161
338,suva,-18.1416,178.4415,24.71,78,75,4.12,FJ,1697509101
339,magadan,59.5667,150.8,1.01,66,100,1.34,RU,1697509161
340,sinabang,2.4803,96.3801,24.94,90,100,2.89,ID,1697509161
341,newman,37.3138,-121.0208,24.05,63,100,0.45,US,1697509161
342,tete,-16.1564,33.5867,27.05,74,40,3.09,MZ,1697509161
343,nuuk,64.1835,-51.7216,-4.66,58,0,7.72,GL,1697508924
344,hualien city,23.9769,121.6044,25.24,71,98,2.66,TW,1697509162
345,karratha,-20.7377,116.8463,34.46,13,0,7.26,AU,1697509162
346,viedma,-40.8135,-62.9967,5.88,78,0,1.41,AR,1697509162
